キーワード,型番,商品名,元値段,販売値段,マーク,タグ,順位
ｃｔ－,dpt-x,差し込みパーテーション用足スタンド,￥500,https://takasyou.jp/rakuten/bestsign/dpt-x.jpg,送料無料,,
差し込み足,dpt-n400,挟み込みパーテーション用足スタンド,"¥1,500",https://takasyou.jp/rakuten/bestsign/dpt-n400.jpg,送料無料,,
差し込み足,abs-60,挟み込みパーテーション用足スタンド,￥380,https://takasyou.jp/rakuten/bestsign/abs-60.jpg,送料無料,,
差し込み足,abs-120,挟み込みパーテーション用足スタンド,￥480,https://takasyou.jp/rakuten/bestsign/abs-120.jpg,送料無料,,
金属足,s25,パーテーション用足スタンドステンレス製,￥400,https://takasyou.jp/rakuten/bestsign/s25.jpg,送料無料,,
金属足,s100,パーテーション用足スタンドステンレス製,￥800,https://takasyou.jp/rakuten/bestsign/s100.jpg,送料無料,,
金属足,s60,パーテーション用足スタンドステンレス製,"￥2,980",https://takasyou.jp/rakuten/bestsign/s60.jpg,送料無料,,
金属足,s40,パーテーション用足スタンドステンレス製,￥450,https://takasyou.jp/rakuten/bestsign/s40.jpg,送料無料,,
クランプ足,slap-2set,クランプ式パーテーション用足スタンドス,"￥1,480",https://takasyou.jp/rakuten/bestsign/slap-2set.jpg,送料無料,,
クランプ足,slap-k-2set,クランプ式パーテーション用足スタンドス,"￥1,480",https://takasyou.jp/rakuten/bestsign/slap-k-2set.jpg,送料無料,,
クランプ足,lap-2set,クランプ式パーテーション用足スタンドス,"￥1,380",https://takasyou.jp/rakuten/bestsign/lap-2set.jpg,送料無料,,
クランプ足,nlap-2set,クランプ式パーテーション用足スタンドス,"￥1,380",https://takasyou.jp/rakuten/bestsign/nlap-2set.jpg,送料無料,,
平棚A,ssk-001-6030,W600×D300mm,"￥6,180",https://takasyou.jp/rakuten/bestsign/ssk-001-6030.jpg,,,
平棚A,ssk-001-9030,W900×D300mm,"￥7,180",https://takasyou.jp/rakuten/bestsign/ssk-001-9030.jpg,,,
平棚A,ssk-001-12030,W1200×D300mm,"￥8,180",https://takasyou.jp/rakuten/bestsign/ssk-001-12030.jpg,,,
平棚A,ssk-001-15030,W1500×D300mm,"￥9,180",https://takasyou.jp/rakuten/bestsign/ssk-001-15030.jpg,,,
平棚B,ssk-002-6030,W600×D300mm ステンレス製 平棚,"￥7,180",https://takasyou.jp/rakuten/bestsign/ssk-002-6030.jpg,,,
平棚B,ssk-002-9030,W900×D300mm,"￥8,180",https://takasyou.jp/rakuten/bestsign/ssk-002-9030.jpg,,,
